"U:0","U:1","U:2","d","nuT","p","Points:0","Points:1","Points:2"
-8.0255e-06,-7.2605e-06,0,0,1.3324e-09,7.3425e-06,0,0,0
8.3863e-06,-1.2627e-05,0,0,2.8944e-09,2.0023e-05,0.00069259,0,0
6.9748e-05,-2.2134e-05,0,0,6.8766e-09,3.8445e-05,0.001395,0,0
0.0001762,-2.9434e-05,0,0,1.2138e-08,4.1813e-05,0.0021075,0,0
0.00030655,-3.3783e-05,0,0,1.8114e-08,2.8825e-05,0.0028301,0,0
0.00044575,-3.4452e-05,0,0,2.4438e-08,-1.8783e-06,0.003563,0,0
0.00058213,-3.2248e-05,0,0,3.0597e-08,-5.1787e-05,0.0043064,0,0
0.00070504,-2.8123e-05,0,0,3.608e-08,-0.00012082,0.0050603,0,0
0.00080585,-2.271e-05,0,0,4.0452e-08,-0.00020788,0.005825,0,0
0.00087794,-1.6441e-05,0,0,4.3355e-08,-0.00031131,0.0066005,0,0
0.00091652,-9.6856e-06,0,0,4.4524e-08,-0.00042909,0.0073872,0,0
0.00091862,-2.7986e-06,0,0,4.3787e-08,-0.00055898,0.008185,0,0
0.00088313,3.863e-06,0,0,4.1081e-08,-0.00069864,0.0089942,0,0
0.00081076,9.9896e-06,0,0,3.6452e-08,-0.00084581,0.0098149,0,0
0.00070376,1.5357e-05,0,0,3.0077e-08,-0.00099845,0.010647,0,0
0.00056551,1.9856e-05,0,0,2.2349e-08,-0.001155,0.011492,0,0
0.00039993,2.3491e-05,0,0,1.4564e-08,-0.0013142,0.012348,0,0
0.00021088,2.6359e-05,0,0,1.1669e-08,-0.0014755,0.013216,0,0
1.75e-06,2.8615e-05,0,0,1.7648e-08,-0.0016389,0.014097,0,0
-0.00022493,3.0449e-05,0,0,2.9501e-08,-0.0018043,0.014991,0,0
-0.00046754,3.2047e-05,0,0,4.3469e-08,-0.0019723,0.015897,0,0
-0.0007254,3.3571e-05,0,0,5.8697e-08,-0.0021434,0.016816,0,0
-0.00099861,3.5141e-05,0,0,7.4996e-08,-0.002318,0.017748,0,0
-0.0012879,3.6844e-05,0,0,9.2333e-08,-0.0024965,0.018693,0,0
-0.0015944,3.8733e-05,0,0,1.1074e-07,-0.0026794,0.019652,0,0
-0.0019197,4.0835e-05,0,0,1.3026e-07,-0.0028665,0.020625,0,0
-0.0022653,4.3159e-05,0,0,1.5099e-07,-0.003058,0.021611,0,0
-0.0026328,4.5701e-05,0,0,1.7298e-07,-0.0032534,0.022612,0,0
-0.0030241,4.8446e-05,0,0,1.9633e-07,-0.0034521,0.023627,0,0
-0.0034405,5.1376e-05,0,0,2.2109e-07,-0.0036534,0.024656,0,0
-0.0038836,5.4464e-05,0,0,2.4734e-07,-0.0038563,0.0257,0,0
-0.0043545,5.7685e-05,0,0,2.7512e-07,-0.0040593,0.026758,0,0
-0.0048542,6.1009e-05,0,0,3.0447e-07,-0.0042607,0.027832,0,0
-0.0053835,6.4403e-05,0,0,3.3542e-07,-0.0044587,0.028921,0,0
-0.0059429,6.7831e-05,0,0,3.6797e-07,-0.0046508,0.030026,0,0
-0.0065324,7.1257e-05,0,0,4.021e-07,-0.0048342,0.031146,0,0
-0.0071519,7.4635e-05,0,0,4.3777e-07,-0.005006,0.032282,0,0
-0.0078006,7.7921e-05,0,0,4.7493e-07,-0.0051624,0.033435,0,0
-0.0084774,8.106e-05,0,0,5.1348e-07,-0.0052994,0.034604,0,0
-0.0091808,8.3994e-05,0,0,5.5331e-07,-0.0054126,0.035789,0,0
-0.0099083,8.6657e-05,0,0,5.9426e-07,-0.0054968,0.036992,0,0
-0.010657,8.8974e-05,0,0,6.3614e-07,-0.0055466,0.038211,0,0
-0.011424,9.086e-05,0,0,6.7873e-07,-0.0055558,0.039448,0,0
-0.012204,9.2223e-05,0,0,7.2175e-07,-0.0055182,0.040703,0,0
-0.012992,9.2957e-05,0,0,7.649e-07,-0.0054267,0.041975,0,0
-0.013781,9.2947e-05,0,0,8.078e-07,-0.0052741,0.043266,0,0
-0.014565,9.2067e-05,0,0,8.5003e-07,-0.005053,0.044575,0,0
